Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
North Carolina,Anson Dorrance,,,,,,1,,,
UConn,Len Tsantiris,,,,,,2,,,
Florida,Becky Burleigh,,,,,,3,,,
Santa Clara,Jerry Smith,,,,,,4,,,
Notre Dame,Randy Waldrum,,,,,,5,,,
William & Mary,John Daly,,,,,,6,,,
James Madison,David Lombardo,,,,,,7,,,
Texas A&M,G. Guerrieri,,,,,,8,,,
Texas,Chris Petrucelli,,,,,,9,,,
Boston U.,Nancy Feldman,,,,,,10,,,
Richmond,Peter Albright,,,,,,11,,,
Florida St.,Mark Krikorian,,,,,,12,,,
Brown,Phil Pincince,,,,,,13,,,
Old Dominion,Joe Pereira,,,,,,14,,,
Appalachian St.,Ben Popoola,,,,,,15,,,
Virginia,Steve Swanson,,,,,,16,,,
BYU,Jennifer Rockwood,,,,,,17,,,
Denver,Jeff Hooker,,,,,,18,,,
Colorado,Bill Hempen,,,,,,19,,,
Dayton,Mike Tucker,,,,,,20,,,
Nebraska,John Walker,,,,,,21,,,
Navy,Carin Gabarra,,,,,,22,,,
Kentucky,Bob Sheehan,,,,,,23,,,
Marquette,Markus Roeders,,,,,,24,,,
Wake Forest,Tony Da Luz,,,,,,25,,,
Harvard,Ray Leone,,,,,,26,,,
Stanford,Coach Unknown,,,,,,27,,,
Portland,Coach Unknown,,,,,,28,,,
UCLA,Coach Unknown,,,,,,29,,,
Charlotte,Coach Unknown,,,,,,30,,,
Samford,Coach Unknown,,,,,,31,,,
South Carolina,Coach Unknown,,,,,,32,,,
Boston College,Coach Unknown,,,,,,33,,,
IUPUI,Coach Unknown,,,,,,34,,,
Central Mich.,Coach Unknown,,,,,,35,,,
UCF,Coach Unknown,,,,,,36,,,
George Mason,Coach Unknown,,,,,,37,,,
Western Ky.,Coach Unknown,,,,,,38,,,
Ohio St.,Coach Unknown,,,,,,39,,,
Monmouth,Coach Unknown,,,,,,40,,,
LSU,Coach Unknown,,,,,,41,,,
San Diego St.,Coach Unknown,,,,,,42,,,
Rutgers,Coach Unknown,,,,,,43,,,
Canisius,Coach Unknown,,,,,,44,,,
Cal Poly,Coach Unknown,,,,,,45,,,
Loyola Maryland,Coach Unknown,,,,,,46,,,
Northeastern,Coach Unknown,,,,,,47,,,
Siena,Coach Unknown,,,,,,48,,,
Georgia,Coach Unknown,,,,,,49,,,
Southeastern La.,Coach Unknown,,,,,,50,,,
Memphis,Coach Unknown,,,,,,51,,,
Texas St.,Coach Unknown,,,,,,52,,,
New Mexico,Coach Unknown,,,,,,53,,,
Penn,Coach Unknown,,,,,,54,,,
Elon,Coach Unknown,,,,,,55,,,
Maryland,Coach Unknown,,,,,,56,,,
Washington St.,Coach Unknown,,,,,,57,,,
UTEP,Coach Unknown,,,,,,58,,,
Minnesota,Coach Unknown,,,,,,59,,,
Creighton,Coach Unknown,,,,,,60,,,
Eastern Mich.,Coach Unknown,,,,,,61,,,
Ole Miss,Coach Unknown,,,,,,62,,,
Virginia Tech,Coach Unknown,,,,,,63,,,
Penn St.,Coach Unknown,,,,,,64,,,
St. John's (NY),Coach Unknown,,,,,,65,,,
Oklahoma St.,Coach Unknown,,,,,,66,,,
Missouri,Coach Unknown,,,,,,67,,,
Michigan St.,Coach Unknown,,,,,,68,,,
UNC Greensboro,Coach Unknown,,,,,,69,,,
Georgetown,Coach Unknown,,,,,,70,,,
Colorado Col.,Coach Unknown,,,,,,71,,,
Charleston So.,Coach Unknown,,,,,,72,,,
Middle Tenn.,Coach Unknown,,,,,,73,,,
Purdue,Coach Unknown,,,,,,74,,,
Milwaukee,Coach Unknown,,,,,,75,,,
Southern California,Coach Unknown,,,,,,76,,,
Lehigh,Coach Unknown,,,,,,77,,,
Centenary (LA),Coach Unknown,,,,,,78,,,
Washington,Coach Unknown,,,,,,79,,,
Loyola Marymount,Coach Unknown,,,,,,80,,,
Marshall,Coach Unknown,,,,,,81,,,
Oregon St.,Coach Unknown,,,,,,82,,,
Boise St.,Coach Unknown,,,,,,83,,,
FIU,Coach Unknown,,,,,,84,,,
Yale,Coach Unknown,,,,,,85,,,
Louisiana Tech,Coach Unknown,,,,,,86,,,
San Jose St.,Coach Unknown,,,,,,87,,,
Illinois St.,Coach Unknown,,,,,,88,,,
UC Irvine,Coach Unknown,,,,,,89,,,
Central Conn. St.,Coach Unknown,,,,,,90,,,
North Texas,Coach Unknown,,,,,,91,,,
Col. of Charleston,Coach Unknown,,,,,,92,,,
Toledo,Coach Unknown,,,,,,93,,,
San Diego,Coach Unknown,,,,,,94,,,
Maine,Coach Unknown,,,,,,95,,,
Villanova,Coach Unknown,,,,,,96,,,
UNC Wilmington,Coach Unknown,,,,,,97,,,
Kennesaw St.,Coach Unknown,,,,,,98,,,
Ark.-Pine Bluff,Coach Unknown,,,,,,99,,,
Hofstra,Coach Unknown,,,,,,100,,,
Pepperdine,Coach Unknown,,,,,,101,,,
Pacific,Coach Unknown,,,,,,102,,,
Wright St.,Coach Unknown,,,,,,103,,,
Stetson,Coach Unknown,,,,,,104,,,
Belmont,Coach Unknown,,,,,,105,,,
Portland St.,Coach Unknown,,,,,,106,,,
South Dakota St.,Coach Unknown,,,,,,107,,,
Colgate,Coach Unknown,,,,,,108,,,
Miami (OH),Coach Unknown,,,,,,109,,,
UAB,Coach Unknown,,,,,,110,,,
Wisconsin,Coach Unknown,,,,,,111,,,
Kansas,Coach Unknown,,,,,,112,,,
Dartmouth,Coach Unknown,,,,,,113,,,
Missouri St.,Coach Unknown,,,,,,114,,,
Pittsburgh,Coach Unknown,,,,,,115,,,
Sacramento St.,Coach Unknown,,,,,,116,,,
Indiana,Coach Unknown,,,,,,117,,,
Vanderbilt,Coach Unknown,,,,,,118,,,
South Carolina St.,Coach Unknown,,,,,,119,,,
Grambling,Coach Unknown,,,,,,120,,,
Gardner-Webb,Coach Unknown,,,,,,121,,,
West Virginia,Coach Unknown,,,,,,122,,,
Jackson St.,Coach Unknown,,,,,,123,,,
UT Martin,Coach Unknown,,,,,,124,,,
Akron,Coach Unknown,,,,,,125,,,
Idaho St.,Coach Unknown,,,,,,126,,,
Furman,Coach Unknown,,,,,,127,,,
Binghamton,Coach Unknown,,,,,,128,,,
Mercer,Coach Unknown,,,,,,129,,,
Western Caro.,Coach Unknown,,,,,,130,,,
Liberty,Coach Unknown,,,,,,131,,,
Baylor,Coach Unknown,,,,,,132,,,
Bucknell,Coach Unknown,,,,,,133,,,
East Carolina,Coach Unknown,,,,,,134,,,
Stephen F. Austin,Coach Unknown,,,,,,135,,,
Northwestern St.,Coach Unknown,,,,,,136,,,
North Dakota St.,Coach Unknown,,,,,,137,,,
La Salle,Coach Unknown,,,,,,138,,,
Jacksonville,Coach Unknown,,,,,,139,,,
Arizona St.,Coach Unknown,,,,,,140,,,
California,Coach Unknown,,,,,,141,,,
