Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
North Carolina,Anson Dorrance,,,,,,1,,,
UConn,Len Tsantiris,,,,,,2,,,
Santa Clara,Jerry Smith,,,,,,3,,,
Texas A&M,G. Guerrieri,,,,,,4,,,
Texas,Chris Petrucelli,,,,,,5,,,
BYU,Jennifer Rockwood,,,,,,6,,,
Denver,Jeff Hooker,,,,,,7,,,
Dayton,Mike Tucker,,,,,,8,,,
Navy,Carin Gabarra,,,,,,9,,,
Army,Gene Ventriglia,,,,,,10,,,
Cincinnati,Meridy Glenn,,,,,,11,,,
Stanford,Coach Unknown,,,,,,12,,,
Pepperdine,Coach Unknown,,,,,,13,,,
Charlotte,Coach Unknown,,,,,,14,,,
UTEP,Coach Unknown,,,,,,15,,,
West Virginia,Coach Unknown,,,,,,16,,,
Miami (OH),Coach Unknown,,,,,,17,,,
UCLA,Coach Unknown,,,,,,18,,,
Penn St.,Coach Unknown,,,,,,19,,,
Portland,Coach Unknown,,,,,,20,,,
Princeton,Coach Unknown,,,,,,21,,,
UCF,Coach Unknown,,,,,,22,,,
Jacksonville,Coach Unknown,,,,,,23,,,
Villanova,Coach Unknown,,,,,,24,,,
Rhode Island,Coach Unknown,,,,,,25,,,
Tennessee,Coach Unknown,,,,,,26,,,
Radford,Coach Unknown,,,,,,27,,,
Fla. Atlantic,Coach Unknown,,,,,,28,,,
Auburn,Coach Unknown,,,,,,29,,,
Ohio,Coach Unknown,,,,,,30,,,
