Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
North Carolina,Anson Dorrance,,,,,,1,,,
UConn,Len Tsantiris,,,,,,2,,,
Florida,Becky Burleigh,,,,,,3,,,
Santa Clara,Jerry Smith,,,,,,4,,,
Notre Dame,Randy Waldrum,,,,,,5,,,
William & Mary,John Daly,,,,,,6,,,
James Madison,David Lombardo,,,,,,7,,,
Texas A&M,G. Guerrieri,,,,,,8,,,
SMU,Chris Petrucelli,,,,,,9,,,
Boston U.,Nancy Feldman,,,,,,10,,,
Richmond,Peter Albright,,,,,,11,,,
Florida St.,Mark Krikorian,,,,,,12,,,
Brown,Phil Pincince,,,,,,13,,,
Old Dominion,Joe Pereira,,,,,,14,,,
Virginia,Steve Swanson,,,,,,15,,,
BYU,Jennifer Rockwood,,,,,,16,,,
Denver,Jeff Hooker,,,,,,17,,,
Dayton,Mike Tucker,,,,,,18,,,
Nebraska,John Walker,,,,,,19,,,
Navy,Carin Gabarra,,,,,,20,,,
Kentucky,Bob Sheehan,,,,,,21,,,
Marquette,Markus Roeders,,,,,,22,,,
Wake Forest,Tony Da Luz,,,,,,23,,,
Harvard,Ray Leone,,,,,,24,,,
Stanford,Coach Unknown,,,,,,25,,,
San Diego St.,Coach Unknown,,,,,,26,,,
Baylor,Coach Unknown,,,,,,27,,,
Miami (OH),Coach Unknown,,,,,,28,,,
UCLA,Coach Unknown,,,,,,29,,,
Penn St.,Coach Unknown,,,,,,30,,,
Stephen F. Austin,Coach Unknown,,,,,,31,,,
Furman,Coach Unknown,,,,,,32,,,
Ohio St.,Coach Unknown,,,,,,33,,,
Dartmouth,Coach Unknown,,,,,,34,,,
Princeton,Coach Unknown,,,,,,35,,,
Drexel,Coach Unknown,,,,,,36,,,
Radford,Coach Unknown,,,,,,37,,,
La Salle,Coach Unknown,,,,,,38,,,
Georgetown,Coach Unknown,,,,,,39,,,
UCF,Coach Unknown,,,,,,40,,,
North Texas,Coach Unknown,,,,,,41,,,
FGCU,Coach Unknown,,,,,,42,,,
Michigan,Coach Unknown,,,,,,43,,,
Utah St.,Coach Unknown,,,,,,44,,,
California,Coach Unknown,,,,,,45,,,
Middle Tenn.,Coach Unknown,,,,,,46,,,
Colorado Col.,Coach Unknown,,,,,,47,,,
Texas Tech,Coach Unknown,,,,,,48,,,
Saint Francis (PA),Coach Unknown,,,,,,49,,,
Tennessee,Coach Unknown,,,,,,50,,,
Kent St.,Coach Unknown,,,,,,51,,,
Illinois St.,Coach Unknown,,,,,,52,,,
UNLV,Coach Unknown,,,,,,53,,,
Duke,Coach Unknown,,,,,,54,,,
Mercer,Coach Unknown,,,,,,55,,,
Western Ill.,Coach Unknown,,,,,,56,,,
Marist,Coach Unknown,,,,,,57,,,
Rider,Coach Unknown,,,,,,58,,,
Drake,Coach Unknown,,,,,,59,,,
Western Ky.,Coach Unknown,,,,,,60,,,
Virginia Tech,Coach Unknown,,,,,,61,,,
Central Mich.,Coach Unknown,,,,,,62,,,
Butler,Coach Unknown,,,,,,63,,,
East Tenn. St.,Coach Unknown,,,,,,64,,,
FIU,Coach Unknown,,,,,,65,,,
Pepperdine,Coach Unknown,,,,,,66,,,
Louisiana Tech,Coach Unknown,,,,,,67,,,
Louisville,Coach Unknown,,,,,,68,,,
Longwood,Coach Unknown,,,,,,69,,,
Missouri,Coach Unknown,,,,,,70,,,
VCU,Coach Unknown,,,,,,71,,,
UT Martin,Coach Unknown,,,,,,72,,,
Hartford,Coach Unknown,,,,,,73,,,
Maryland,Coach Unknown,,,,,,74,,,
West Virginia,Coach Unknown,,,,,,75,,,
Washington St.,Coach Unknown,,,,,,76,,,
Iowa,Coach Unknown,,,,,,77,,,
Portland,Coach Unknown,,,,,,78,,,
Montana,Coach Unknown,,,,,,79,,,
Cal St. Northridge,Coach Unknown,,,,,,80,,,
Loyola Maryland,Coach Unknown,,,,,,81,,,
Tulsa,Coach Unknown,,,,,,82,,,
South Fla.,Coach Unknown,,,,,,83,,,
Eastern Mich.,Coach Unknown,,,,,,84,,,
Fairfield,Coach Unknown,,,,,,85,,,
Idaho St.,Coach Unknown,,,,,,86,,,
UNC Greensboro,Coach Unknown,,,,,,87,,,
Southeastern La.,Coach Unknown,,,,,,88,,,
Oregon St.,Coach Unknown,,,,,,89,,,
Oklahoma St.,Coach Unknown,,,,,,90,,,
Colgate,Coach Unknown,,,,,,91,,,
Oakland,Coach Unknown,,,,,,92,,,
Oral Roberts,Coach Unknown,,,,,,93,,,
Winthrop,Coach Unknown,,,,,,94,,,
Stony Brook,Coach Unknown,,,,,,95,,,
Rutgers,Coach Unknown,,,,,,96,,,
UNC Wilmington,Coach Unknown,,,,,,97,,,
Valparaiso,Coach Unknown,,,,,,98,,,
Minnesota,Coach Unknown,,,,,,99,,,
Wright St.,Coach Unknown,,,,,,100,,,
Samford,Coach Unknown,,,,,,101,,,
Long Beach St.,Coach Unknown,,,,,,102,,,
New Mexico,Coach Unknown,,,,,,103,,,
Austin Peay,Coach Unknown,,,,,,104,,,
Liberty,Coach Unknown,,,,,,105,,,
Wisconsin,Coach Unknown,,,,,,106,,,
Rice,Coach Unknown,,,,,,107,,,
Penn,Coach Unknown,,,,,,108,,,
Ole Miss,Coach Unknown,,,,,,109,,,
High Point,Coach Unknown,,,,,,110,,,
Quinnipiac,Coach Unknown,,,,,,111,,,
Central Ark.,Coach Unknown,,,,,,112,,,
Monmouth,Coach Unknown,,,,,,113,,,
Bryant,Coach Unknown,,,,,,114,,,
Rhode Island,Coach Unknown,,,,,,115,,,
Houston Baptist,Coach Unknown,,,,,,116,,,
East Carolina,Coach Unknown,,,,,,117,,,
Arkansas St.,Coach Unknown,,,,,,118,,,
Eastern Ky.,Coach Unknown,,,,,,119,,,
Boston College,Coach Unknown,,,,,,120,,,
Detroit,Coach Unknown,,,,,,121,,,
Syracuse,Coach Unknown,,,,,,122,,,
Campbell,Coach Unknown,,,,,,123,,,
IPFW,Coach Unknown,,,,,,124,,,
Kennesaw St.,Coach Unknown,,,,,,125,,,
Cal Poly,Coach Unknown,,,,,,126,,,
Appalachian St.,Coach Unknown,,,,,,127,,,
Jacksonville,Coach Unknown,,,,,,128,,,
Memphis,Coach Unknown,,,,,,129,,,
Miami (FL),Coach Unknown,,,,,,130,,,
Charlotte,Coach Unknown,,,,,,131,,,
Saint Joseph's,Coach Unknown,,,,,,132,,,
Jacksonville St.,Coach Unknown,,,,,,133,,,
Kansas,Coach Unknown,,,,,,134,,,
LIU Brooklyn,Coach Unknown,,,,,,135,,,
Lamar,Coach Unknown,,,,,,136,,,
Washington,Coach Unknown,,,,,,137,,,
Hofstra,Coach Unknown,,,,,,138,,,
Ga. Southern,Coach Unknown,,,,,,139,,,
Auburn,Coach Unknown,,,,,,140,,,
Yale,Coach Unknown,,,,,,141,,,
