Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
North Carolina,Anson Dorrance,,,,,,1,,,
UConn,Len Tsantiris,,,,,,2,,,
Florida,Becky Burleigh,,,,,,3,,,
Santa Clara,Jerry Smith,,,,,,4,,,
Notre Dame,Randy Waldrum,,,,,,5,,,
William & Mary,John Daly,,,,,,6,,,
James Madison,David Lombardo,,,,,,7,,,
Texas A&M,G. Guerrieri,,,,,,8,,,
Texas,Chris Petrucelli,,,,,,9,,,
Boston U.,Nancy Feldman,,,,,,10,,,
Richmond,Peter Albright,,,,,,11,,,
Massachusetts,Jim Rudy,,,,,,12,,,
Brown,Phil Pincince,,,,,,13,,,
Old Dominion,Joe Pereira,,,,,,14,,,
Appalachian St.,Ben Popoola,,,,,,15,,,
Virginia,Steve Swanson,,,,,,16,,,
BYU,Jennifer Rockwood,,,,,,17,,,
Denver,Jeff Hooker,,,,,,18,,,
Colorado,Bill Hempen,,,,,,19,,,
Dayton,Mike Tucker,,,,,,20,,,
Syracuse,Patrick Farmer,,,,,,21,,,
Nebraska,John Walker,,,,,,22,,,
Navy,Carin Gabarra,,,,,,23,,,
Army,Gene Ventriglia,,,,,,24,,,
Kentucky,Bob Sheehan,,,,,,25,,,
Cincinnati,Meridy Glenn,,,,,,26,,,
Marquette,Markus Roeders,,,,,,27,,,
Wake Forest,Tony Da Luz,,,,,,28,,,
Arizona St.,Ray Leone,,,,,,29,,,
Princeton,Coach Unknown,,,,,,30,,,
Penn St.,Coach Unknown,,,,,,31,,,
Portland,Coach Unknown,,,,,,32,,,
Loyola Maryland,Coach Unknown,,,,,,33,,,
UC Riverside,Coach Unknown,,,,,,34,,,
Ohio St.,Coach Unknown,,,,,,35,,,
Kansas,Coach Unknown,,,,,,36,,,
UCF,Coach Unknown,,,,,,37,,,
Auburn,Coach Unknown,,,,,,38,,,
Washington,Coach Unknown,,,,,,39,,,
SMU,Coach Unknown,,,,,,40,,,
Tennessee,Coach Unknown,,,,,,41,,,
Campbell,Coach Unknown,,,,,,42,,,
Middle Tenn.,Coach Unknown,,,,,,43,,,
Grambling,Coach Unknown,,,,,,44,,,
Centenary (LA),Coach Unknown,,,,,,45,,,
UNC Greensboro,Coach Unknown,,,,,,46,,,
Yale,Coach Unknown,,,,,,47,,,
UCLA,Coach Unknown,,,,,,48,,,
UAB,Coach Unknown,,,,,,49,,,
North Texas,Coach Unknown,,,,,,50,,,
Wisconsin,Coach Unknown,,,,,,51,,,
West Virginia,Coach Unknown,,,,,,52,,,
Arizona,Coach Unknown,,,,,,53,,,
UTEP,Coach Unknown,,,,,,54,,,
Illinois,Coach Unknown,,,,,,55,,,
Saint Louis,Coach Unknown,,,,,,56,,,
Rice,Coach Unknown,,,,,,57,,,
Cal Poly,Coach Unknown,,,,,,58,,,
Fla. Atlantic,Coach Unknown,,,,,,59,,,
Chattanooga,Coach Unknown,,,,,,60,,,
Oral Roberts,Coach Unknown,,,,,,61,,,
Binghamton,Coach Unknown,,,,,,62,,,
Drake,Coach Unknown,,,,,,63,,,
UNLV,Coach Unknown,,,,,,64,,,
Villanova,Coach Unknown,,,,,,65,,,
VCU,Coach Unknown,,,,,,66,,,
La.-Monroe,Coach Unknown,,,,,,67,,,
Ball St.,Coach Unknown,,,,,,68,,,
Kent St.,Coach Unknown,,,,,,69,,,
Florida St.,Coach Unknown,,,,,,70,,,
Col. of Charleston,Coach Unknown,,,,,,71,,,
Louisville,Coach Unknown,,,,,,72,,,
Maine,Coach Unknown,,,,,,73,,,
Boston College,Coach Unknown,,,,,,74,,,
UC Santa Barbara,Coach Unknown,,,,,,75,,,
Eastern Ill.,Coach Unknown,,,,,,76,,,
Utah,Coach Unknown,,,,,,77,,,
Stanford,Coach Unknown,,,,,,78,,,
Cal St. Northridge,Coach Unknown,,,,,,79,,,
Hofstra,Coach Unknown,,,,,,80,,,
Stephen F. Austin,Coach Unknown,,,,,,81,,,
Prairie View,Coach Unknown,,,,,,82,,,
Duke,Coach Unknown,,,,,,83,,,
Oklahoma St.,Coach Unknown,,,,,,84,,,
Missouri St.,Coach Unknown,,,,,,85,,,
Hawaii,Coach Unknown,,,,,,86,,,
Colgate,Coach Unknown,,,,,,87,,,
American,Coach Unknown,,,,,,88,,,
Southeast Mo. St.,Coach Unknown,,,,,,89,,,
UNC Asheville,Coach Unknown,,,,,,90,,,
Detroit,Coach Unknown,,,,,,91,,,
California,Coach Unknown,,,,,,92,,,
Michigan St.,Coach Unknown,,,,,,93,,,
Colorado Col.,Coach Unknown,,,,,,94,,,
Northeastern,Coach Unknown,,,,,,95,,,
Western Mich.,Coach Unknown,,,,,,96,,,
Rider,Coach Unknown,,,,,,97,,,
Furman,Coach Unknown,,,,,,98,,,
Radford,Coach Unknown,,,,,,99,,,
Georgia St.,Coach Unknown,,,,,,100,,,
Illinois St.,Coach Unknown,,,,,,101,,,
Lehigh,Coach Unknown,,,,,,102,,,
San Diego,Coach Unknown,,,,,,103,,,
Penn,Coach Unknown,,,,,,104,,,
IUPUI,Coach Unknown,,,,,,105,,,
Birmingham-So.,Coach Unknown,,,,,,106,,,
Samford,Coach Unknown,,,,,,107,,,
UNC Wilmington,Coach Unknown,,,,,,108,,,
Delaware,Coach Unknown,,,,,,109,,,
Memphis,Coach Unknown,,,,,,110,,,
South Ala.,Coach Unknown,,,,,,111,,,
Columbia,Coach Unknown,,,,,,112,,,
Loyola Marymount,Coach Unknown,,,,,,113,,,
High Point,Coach Unknown,,,,,,114,,,
San Francisco,Coach Unknown,,,,,,115,,,
George Mason,Coach Unknown,,,,,,116,,,
Eastern Mich.,Coach Unknown,,,,,,117,,,
Cal St. Fullerton,Coach Unknown,,,,,,118,,,
New Hampshire,Coach Unknown,,,,,,119,,,
Davidson,Coach Unknown,,,,,,120,,,
Jackson St.,Coach Unknown,,,,,,121,,,
Milwaukee,Coach Unknown,,,,,,122,,,
Texas St.,Coach Unknown,,,,,,123,,,
Harvard,Coach Unknown,,,,,,124,,,
Niagara,Coach Unknown,,,,,,125,,,
Fordham,Coach Unknown,,,,,,126,,,
LIU Brooklyn,Coach Unknown,,,,,,127,,,
Mississippi Val.,Coach Unknown,,,,,,128,,,
Ohio,Coach Unknown,,,,,,129,,,
Pepperdine,Coach Unknown,,,,,,130,,,
St. John's (NY),Coach Unknown,,,,,,131,,,
Indiana,Coach Unknown,,,,,,132,,,
Siena,Coach Unknown,,,,,,133,,,
Wyoming,Coach Unknown,,,,,,134,,,
Virginia Tech,Coach Unknown,,,,,,135,,,
Valparaiso,Coach Unknown,,,,,,136,,,
Southeastern La.,Coach Unknown,,,,,,137,,,
Gardner-Webb,Coach Unknown,,,,,,138,,,
Maryland,Coach Unknown,,,,,,139,,,
Loyola Chicago,Coach Unknown,,,,,,140,,,
La Salle,Coach Unknown,,,,,,141,,,
