Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
North Carolina,Anson Dorrance,,,,,,1,,,
UConn,Len Tsantiris,,,,,,2,,,
Florida,Becky Burleigh,,,,,,3,,,
Santa Clara,Jerry Smith,,,,,,4,,,
Notre Dame,Randy Waldrum,,,,,,5,,,
William & Mary,John Daly,,,,,,6,,,
James Madison,David Lombardo,,,,,,7,,,
Texas A&M,G. Guerrieri,,,,,,8,,,
Texas,Chris Petrucelli,,,,,,9,,,
Boston U.,Nancy Feldman,,,,,,10,,,
Richmond,Peter Albright,,,,,,11,,,
Massachusetts,Jim Rudy,,,,,,12,,,
Brown,Phil Pincince,,,,,,13,,,
Old Dominion,Joe Pereira,,,,,,14,,,
Appalachian St.,Ben Popoola,,,,,,15,,,
Virginia,Steve Swanson,,,,,,16,,,
BYU,Jennifer Rockwood,,,,,,17,,,
Denver,Jeff Hooker,,,,,,18,,,
Colorado,Bill Hempen,,,,,,19,,,
Dayton,Mike Tucker,,,,,,20,,,
Tennessee Tech,Patrick Farmer,,,,,,21,,,
Nebraska,John Walker,,,,,,22,,,
Navy,Carin Gabarra,,,,,,23,,,
Army,Gene Ventriglia,,,,,,24,,,
Kentucky,Bob Sheehan,,,,,,25,,,
Cincinnati,Meridy Glenn,,,,,,26,,,
Marquette,Markus Roeders,,,,,,27,,,
Wake Forest,Tony Da Luz,,,,,,28,,,
Arizona St.,Ray Leone,,,,,,29,,,
Cal Poly,Coach Unknown,,,,,,30,,,
UCLA,Coach Unknown,,,,,,31,,,
Utah,Coach Unknown,,,,,,32,,,
Portland,Coach Unknown,,,,,,33,,,
Penn St.,Coach Unknown,,,,,,34,,,
SMU,Coach Unknown,,,,,,35,,,
Southeastern La.,Coach Unknown,,,,,,36,,,
Central Conn. St.,Coach Unknown,,,,,,37,,,
Boston College,Coach Unknown,,,,,,38,,,
Fla. Atlantic,Coach Unknown,,,,,,39,,,
West Virginia,Coach Unknown,,,,,,40,,,
Illinois,Coach Unknown,,,,,,41,,,
Hofstra,Coach Unknown,,,,,,42,,,
Maine,Coach Unknown,,,,,,43,,,
UCF,Coach Unknown,,,,,,44,,,
Tennessee,Coach Unknown,,,,,,45,,,
Kansas,Coach Unknown,,,,,,46,,,
Oakland,Coach Unknown,,,,,,47,,,
Auburn,Coach Unknown,,,,,,48,,,
Princeton,Coach Unknown,,,,,,49,,,
Furman,Coach Unknown,,,,,,50,,,
Georgia St.,Coach Unknown,,,,,,51,,,
Stephen F. Austin,Coach Unknown,,,,,,52,,,
Oklahoma St.,Coach Unknown,,,,,,53,,,
UAB,Coach Unknown,,,,,,54,,,
North Texas,Coach Unknown,,,,,,55,,,
Saint Louis,Coach Unknown,,,,,,56,,,
Villanova,Coach Unknown,,,,,,57,,,
Hawaii,Coach Unknown,,,,,,58,,,
Ole Miss,Coach Unknown,,,,,,59,,,
Samford,Coach Unknown,,,,,,60,,,
Pepperdine,Coach Unknown,,,,,,61,,,
Ohio St.,Coach Unknown,,,,,,62,,,
Kent St.,Coach Unknown,,,,,,63,,,
Purdue,Coach Unknown,,,,,,64,,,
Florida St.,Coach Unknown,,,,,,65,,,
East Tenn. St.,Coach Unknown,,,,,,66,,,
UNC Greensboro,Coach Unknown,,,,,,67,,,
Duke,Coach Unknown,,,,,,68,,,
DePaul,Coach Unknown,,,,,,69,,,
Drake,Coach Unknown,,,,,,70,,,
Jacksonville St.,Coach Unknown,,,,,,71,,,
Oral Roberts,Coach Unknown,,,,,,72,,,
Western Ky.,Coach Unknown,,,,,,73,,,
Sacred Heart,Coach Unknown,,,,,,74,,,
George Washington,Coach Unknown,,,,,,75,,,
Western Mich.,Coach Unknown,,,,,,76,,,
Southeast Mo. St.,Coach Unknown,,,,,,77,,,
UNC Asheville,Coach Unknown,,,,,,78,,,
UC Irvine,Coach Unknown,,,,,,79,,,
Illinois St.,Coach Unknown,,,,,,80,,,
Middle Tenn.,Coach Unknown,,,,,,81,,,
Creighton,Coach Unknown,,,,,,82,,,
UC Santa Barbara,Coach Unknown,,,,,,83,,,
Penn,Coach Unknown,,,,,,84,,,
Eastern Ill.,Coach Unknown,,,,,,85,,,
Delaware,Coach Unknown,,,,,,86,,,
Chattanooga,Coach Unknown,,,,,,87,,,
Campbell,Coach Unknown,,,,,,88,,,
Michigan St.,Coach Unknown,,,,,,89,,,
Fordham,Coach Unknown,,,,,,90,,,
Ball St.,Coach Unknown,,,,,,91,,,
Clemson,Coach Unknown,,,,,,92,,,
Col. of Charleston,Coach Unknown,,,,,,93,,,
VCU,Coach Unknown,,,,,,94,,,
Tulane,Coach Unknown,,,,,,95,,,
Rider,Coach Unknown,,,,,,96,,,
Stetson,Coach Unknown,,,,,,97,,,
UC Riverside,Coach Unknown,,,,,,98,,,
Xavier,Coach Unknown,,,,,,99,,,
Washington,Coach Unknown,,,,,,100,,,
Dartmouth,Coach Unknown,,,,,,101,,,
Northeastern,Coach Unknown,,,,,,102,,,
Gonzaga,Coach Unknown,,,,,,103,,,
Utah St.,Coach Unknown,,,,,,104,,,
UTEP,Coach Unknown,,,,,,105,,,
Buffalo,Coach Unknown,,,,,,106,,,
Centenary (LA),Coach Unknown,,,,,,107,,,
Colgate,Coach Unknown,,,,,,108,,,
Rice,Coach Unknown,,,,,,109,,,
George Mason,Coach Unknown,,,,,,110,,,
Maryland,Coach Unknown,,,,,,111,,,
Loyola Maryland,Coach Unknown,,,,,,112,,,
Rutgers,Coach Unknown,,,,,,113,,,
Georgia,Coach Unknown,,,,,,114,,,
Michigan,Coach Unknown,,,,,,115,,,
Siena,Coach Unknown,,,,,,116,,,
Yale,Coach Unknown,,,,,,117,,,
Monmouth,Coach Unknown,,,,,,118,,,
IPFW,Coach Unknown,,,,,,119,,,
Fairleigh Dickinson,Coach Unknown,,,,,,120,,,
UNI,Coach Unknown,,,,,,121,,,
Southern Miss.,Coach Unknown,,,,,,122,,,
American,Coach Unknown,,,,,,123,,,
UT Martin,Coach Unknown,,,,,,124,,,
South Carolina,Coach Unknown,,,,,,125,,,
Harvard,Coach Unknown,,,,,,126,,,
Bucknell,Coach Unknown,,,,,,127,,,
Saint Joseph's,Coach Unknown,,,,,,128,,,
Vanderbilt,Coach Unknown,,,,,,129,,,
Syracuse,Coach Unknown,,,,,,130,,,
Cal St. Fullerton,Coach Unknown,,,,,,131,,,
Wyoming,Coach Unknown,,,,,,132,,,
Alabama,Coach Unknown,,,,,,133,,,
UNC Wilmington,Coach Unknown,,,,,,134,,,
TCU,Coach Unknown,,,,,,135,,,
Binghamton,Coach Unknown,,,,,,136,,,
Oklahoma,Coach Unknown,,,,,,137,,,
Niagara,Coach Unknown,,,,,,138,,,
Central Mich.,Coach Unknown,,,,,,139,,,
Mississippi St.,Coach Unknown,,,,,,140,,,
Loyola Marymount,Coach Unknown,,,,,,141,,,
