Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
North Carolina,Anson Dorrance,,,,,,1,,,
UConn,Len Tsantiris,,,,,,2,,,
Florida,Becky Burleigh,,,,,,3,,,
Santa Clara,Jerry Smith,,,,,,4,,,
Notre Dame,Randy Waldrum,,,,,,5,,,
William & Mary,John Daly,,,,,,6,,,
James Madison,David Lombardo,,,,,,7,,,
Texas A&M,G. Guerrieri,,,,,,8,,,
SMU,Chris Petrucelli,,,,,,9,,,
Boston U.,Nancy Feldman,,,,,,10,,,
Richmond,Peter Albright,,,,,,11,,,
Florida St.,Mark Krikorian,,,,,,12,,,
Brown,Phil Pincince,,,,,,13,,,
Old Dominion,Joe Pereira,,,,,,14,,,
Virginia,Steve Swanson,,,,,,15,,,
BYU,Jennifer Rockwood,,,,,,16,,,
Denver,Jeff Hooker,,,,,,17,,,
Dayton,Mike Tucker,,,,,,18,,,
Nebraska,John Walker,,,,,,19,,,
Navy,Carin Gabarra,,,,,,20,,,
Kentucky,Bob Sheehan,,,,,,21,,,
Marquette,Markus Roeders,,,,,,22,,,
Wake Forest,Tony Da Luz,,,,,,23,,,
Harvard,Ray Leone,,,,,,24,,,
UCLA,Coach Unknown,,,,,,25,,,
Monmouth,Coach Unknown,,,,,,26,,,
Texas Tech,Coach Unknown,,,,,,27,,,
Portland,Coach Unknown,,,,,,28,,,
Penn,Coach Unknown,,,,,,29,,,
Seattle,Coach Unknown,,,,,,30,,,
Georgetown,Coach Unknown,,,,,,31,,,
Michigan,Coach Unknown,,,,,,32,,,
Radford,Coach Unknown,,,,,,33,,,
Stephen F. Austin,Coach Unknown,,,,,,34,,,
UCF,Coach Unknown,,,,,,35,,,
South Carolina,Coach Unknown,,,,,,36,,,
Furman,Coach Unknown,,,,,,37,,,
Oral Roberts,Coach Unknown,,,,,,38,,,
Washington St.,Coach Unknown,,,,,,39,,,
West Virginia,Coach Unknown,,,,,,40,,,
Virginia Tech,Coach Unknown,,,,,,41,,,
FGCU,Coach Unknown,,,,,,42,,,
Colorado Col.,Coach Unknown,,,,,,43,,,
Elon,Coach Unknown,,,,,,44,,,
La Salle,Coach Unknown,,,,,,45,,,
Liberty,Coach Unknown,,,,,,46,,,
Southeastern La.,Coach Unknown,,,,,,47,,,
Portland St.,Coach Unknown,,,,,,48,,,
Ole Miss,Coach Unknown,,,,,,49,,,
Stanford,Coach Unknown,,,,,,50,,,
Rutgers,Coach Unknown,,,,,,51,,,
SIU Edwardsville,Coach Unknown,,,,,,52,,,
Louisville,Coach Unknown,,,,,,53,,,
Iowa,Coach Unknown,,,,,,54,,,
South Ala.,Coach Unknown,,,,,,55,,,
Indiana,Coach Unknown,,,,,,56,,,
Penn St.,Coach Unknown,,,,,,57,,,
Alabama St.,Coach Unknown,,,,,,58,,,
DePaul,Coach Unknown,,,,,,59,,,
Wagner,Coach Unknown,,,,,,60,,,
Samford,Coach Unknown,,,,,,61,,,
South Dakota St.,Coach Unknown,,,,,,62,,,
UMBC,Coach Unknown,,,,,,63,,,
North Texas,Coach Unknown,,,,,,64,,,
Illinois St.,Coach Unknown,,,,,,65,,,
Winthrop,Coach Unknown,,,,,,66,,,
Northern Ariz.,Coach Unknown,,,,,,67,,,
Colorado,Coach Unknown,,,,,,68,,,
Nicholls St.,Coach Unknown,,,,,,69,,,
Texas,Coach Unknown,,,,,,70,,,
South Fla.,Coach Unknown,,,,,,71,,,
Arkansas,Coach Unknown,,,,,,72,,,
UTEP,Coach Unknown,,,,,,73,,,
St. John's (NY),Coach Unknown,,,,,,74,,,
California,Coach Unknown,,,,,,75,,,
Memphis,Coach Unknown,,,,,,76,,,
San Diego St.,Coach Unknown,,,,,,77,,,
Stony Brook,Coach Unknown,,,,,,78,,,
Austin Peay,Coach Unknown,,,,,,79,,,
Boise St.,Coach Unknown,,,,,,80,,,
Western Mich.,Coach Unknown,,,,,,81,,,
Baylor,Coach Unknown,,,,,,82,,,
Georgia,Coach Unknown,,,,,,83,,,
Weber St.,Coach Unknown,,,,,,84,,,
Kent St.,Coach Unknown,,,,,,85,,,
Hartford,Coach Unknown,,,,,,86,,,
Miami (OH),Coach Unknown,,,,,,87,,,
Utah,Coach Unknown,,,,,,88,,,
Tulsa,Coach Unknown,,,,,,89,,,
Eastern Mich.,Coach Unknown,,,,,,90,,,
Fairfield,Coach Unknown,,,,,,91,,,
Saint Francis (PA),Coach Unknown,,,,,,92,,,
UC Irvine,Coach Unknown,,,,,,93,,,
Hofstra,Coach Unknown,,,,,,94,,,
Maine,Coach Unknown,,,,,,95,,,
Colgate,Coach Unknown,,,,,,96,,,
Cal Poly,Coach Unknown,,,,,,97,,,
UNC Greensboro,Coach Unknown,,,,,,98,,,
Charlotte,Coach Unknown,,,,,,99,,,
San Diego,Coach Unknown,,,,,,100,,,
Butler,Coach Unknown,,,,,,101,,,
UAB,Coach Unknown,,,,,,102,,,
Jacksonville,Coach Unknown,,,,,,103,,,
Western Ky.,Coach Unknown,,,,,,104,,,
Ball St.,Coach Unknown,,,,,,105,,,
Wright St.,Coach Unknown,,,,,,106,,,
Wofford,Coach Unknown,,,,,,107,,,
Pepperdine,Coach Unknown,,,,,,108,,,
Wisconsin,Coach Unknown,,,,,,109,,,
Evansville,Coach Unknown,,,,,,110,,,
Ohio St.,Coach Unknown,,,,,,111,,,
Marshall,Coach Unknown,,,,,,112,,,
Northern Colo.,Coach Unknown,,,,,,113,,,
Detroit,Coach Unknown,,,,,,114,,,
Arkansas St.,Coach Unknown,,,,,,115,,,
Minnesota,Coach Unknown,,,,,,116,,,
Utah St.,Coach Unknown,,,,,,117,,,
UMKC,Coach Unknown,,,,,,118,,,
Boston College,Coach Unknown,,,,,,119,,,
Columbia,Coach Unknown,,,,,,120,,,
Dartmouth,Coach Unknown,,,,,,121,,,
Delaware,Coach Unknown,,,,,,122,,,
Coastal Caro.,Coach Unknown,,,,,,123,,,
Fresno St.,Coach Unknown,,,,,,124,,,
Arizona,Coach Unknown,,,,,,125,,,
UNLV,Coach Unknown,,,,,,126,,,
Siena,Coach Unknown,,,,,,127,,,
Mercer,Coach Unknown,,,,,,128,,,
UT Martin,Coach Unknown,,,,,,129,,,
Oklahoma St.,Coach Unknown,,,,,,130,,,
Illinois,Coach Unknown,,,,,,131,,,
Princeton,Coach Unknown,,,,,,132,,,
Long Beach St.,Coach Unknown,,,,,,133,,,
Creighton,Coach Unknown,,,,,,134,,,
George Washington,Coach Unknown,,,,,,135,,,
Miami (FL),Coach Unknown,,,,,,136,,,
Rider,Coach Unknown,,,,,,137,,,
Southeast Mo. St.,Coach Unknown,,,,,,138,,,
La.-Lafayette,Coach Unknown,,,,,,139,,,
Valparaiso,Coach Unknown,,,,,,140,,,
Xavier,Coach Unknown,,,,,,141,,,
Appalachian St.,Coach Unknown,,,,,,142,,,
