Rank,Name,Won,Lost,Tied,Pct.
1,Stanford,25,0,1,0.981
2,Memphis,22,1,1,0.938
3,Oklahoma St.,22,2,2,0.885
4,Milwaukee,19,3,0,0.864
5,UCLA,16,1,4,0.857
6,Penn,14,2,1,0.853
7,Boston U.,19,3,1,0.848
8,Duke,22,4,1,0.833
9,Dayton,19,4,0,0.826
10,La Salle,15,2,3,0.825
11,Marquette,18,4,0,0.818
,William & Mary,17,3,2,0.818
13,Stephen F. Austin,15,3,1,0.816
14,Pepperdine,15,2,4,0.810
15,Penn St.,21,5,0,0.808
16,Hartford,13,2,3,0.806
17,Central Mich.,15,3,3,0.786
18,West Virginia,17,5,0,0.773
19,Wake Forest,18,4,4,0.769
20,Santa Clara,13,2,6,0.762
,Denver,16,5,0,0.762
,North Dakota St.,15,4,2,0.762
23,Baylor,15,4,3,0.750
,Ark.-Pine Bluff,16,5,1,0.750
,Virginia,17,5,2,0.750
,Illinois,17,5,2,0.750
27,Long Beach St.,18,6,1,0.740
28,North Texas,14,4,3,0.738
,UC Irvine,14,4,3,0.738
30,Campbell,15,5,2,0.727
,Utah St.,15,5,2,0.727
32,Iowa,13,4,3,0.725
33,Georgetown,15,6,0,0.714
,FGCU,14,5,2,0.714
,Massachusetts,14,5,2,0.714
36,Florida St.,18,7,1,0.712
37,Texas A&M,16,6,2,0.708
38,Radford,15,6,1,0.705
39,North Carolina,13,5,2,0.700
40,South Carolina,16,7,0,0.696
41,Harvard,12,5,1,0.694
,East Tenn. St.,12,5,1,0.694
43,Texas St.,14,6,1,0.690
,Richmond,13,5,3,0.690
,Army,12,4,5,0.690
,Michigan St.,14,6,1,0.690
,Oregon St.,13,5,3,0.690
48,Missouri St.,12,5,2,0.684
,Illinois St.,13,6,0,0.684
50,Tennessee,15,7,0,0.682
,Samford,14,6,2,0.682
52,Florida,17,8,0,0.680
53,South Ala.,12,5,3,0.675
54,Auburn,15,7,2,0.667
,Buffalo,12,5,4,0.667
,New Mexico,12,5,4,0.667
,Marist,13,6,2,0.667
,UCF,13,5,6,0.667
59,Western Ky.,13,6,3,0.659
,Navy,13,6,3,0.659
61,Seattle,12,6,1,0.658
,Jacksonville,11,5,3,0.658
,BYU,11,5,3,0.658
,Southeast Mo. St.,12,6,1,0.658
65,Toledo,14,7,2,0.652
,UT Martin,14,7,2,0.652
67,South Dakota St.,12,6,2,0.650
,Detroit,12,6,2,0.650
69,Brown,10,5,2,0.647
70,Louisville,14,7,3,0.646
71,Kentucky,13,7,1,0.643
,Saint Francis (PA),12,6,3,0.643
,Boston College,12,6,3,0.643
,Fresno St.,11,5,5,0.643
75,California,12,6,4,0.636
,Maryland,12,6,4,0.636
,Western Mich.,14,8,0,0.636
,Wyoming,12,6,4,0.636
,Georgia,13,7,2,0.636
80,Sacred Heart,10,5,4,0.632
,Colgate,11,6,2,0.632
82,Virginia Tech,14,8,1,0.630
,FIU,13,7,3,0.630
84,Winthrop,12,7,1,0.625
85,Yale,9,5,3,0.618
86,Col. of Charleston,13,8,1,0.614
,LSU,13,8,1,0.614
88,Washington St.,12,7,4,0.609
89,UC Davis,11,7,1,0.605
,Southeastern La.,11,7,1,0.605
91,Kent St.,12,8,0,0.600
92,Missouri,12,8,1,0.595
,Utah Valley,12,8,1,0.595
,LIU Brooklyn,12,8,1,0.595
95,San Diego,12,8,2,0.591
,Furman,12,8,2,0.591
97,Lafayette,9,6,2,0.588
98,Creighton,9,6,3,0.583
99,Cleveland St.,10,7,2,0.579
,Monmouth,11,8,0,0.579
,Rider,9,6,4,0.579
102,SMU,11,8,1,0.575
,Colorado Col.,10,7,3,0.575
,East Carolina,11,8,1,0.575
,Wisconsin,10,7,3,0.575
,Robert Morris,11,8,1,0.575
,San Diego St.,10,7,3,0.575
108,Delaware,10,7,4,0.571
,Rice,10,7,4,0.571
110,Morehead St.,11,8,3,0.568
111,UTEP,11,8,4,0.565
,Ohio St.,12,9,2,0.565
113,Hofstra,10,8,0,0.556
114,Valparaiso,8,6,5,0.553
,Miami (FL),10,8,1,0.553
116,St. Mary's (CA),10,8,2,0.550
,Texas Tech,10,8,2,0.550
,St. Bonaventure,9,7,4,0.550
,Mercer,10,8,2,0.550
,George Mason,8,6,6,0.550
,North Carolina St.,10,8,2,0.550
122,Houston Baptist,11,9,1,0.548
,Kansas,11,9,1,0.548
,New Mexico St.,10,8,3,0.548
,Wright St.,10,8,3,0.548
,Texas,11,9,1,0.548
,Tulsa,10,8,3,0.548
,Notre Dame,10,8,3,0.548
129,Wofford,8,7,2,0.529
130,Miami (OH),9,8,1,0.528
,Portland St.,8,7,3,0.528
,Austin Peay,9,8,1,0.528
133,Lamar,9,8,2,0.526
,Canisius,8,7,4,0.526
,Charleston So.,9,8,2,0.526
,Michigan,9,8,2,0.526
,Wagner,9,8,2,0.526
138,Middle Tenn.,10,9,1,0.525
,Northern Colo.,8,7,5,0.525
,Seton Hall,9,8,3,0.525
,Utah,10,9,1,0.525
,Cal St. Fullerton,9,8,3,0.525
,Liberty,9,8,3,0.525
144,VCU,9,8,4,0.524
145,Alabama,10,9,3,0.523
146,Ball St.,9,9,3,0.500
,Belmont,8,8,1,0.500
,Cal Poly,9,9,1,0.500
,Davidson,9,9,2,0.500
,Fairfield,6,6,7,0.500
,Fordham,8,8,3,0.500
,Iowa St.,9,9,1,0.500
,James Madison,8,8,3,0.500
,Longwood,7,7,4,0.500
,Louisiana Tech,8,8,4,0.500
,Rutgers,8,8,3,0.500
,St. John's (NY),9,9,1,0.500
,Saint Joseph's,7,7,5,0.500
,Siena,7,7,3,0.500
,UTSA,9,9,2,0.500
,Elon,8,8,4,0.500
,UMKC,8,8,4,0.500
163,Oakland,10,11,1,0.477
164,North Florida,9,10,2,0.476
,Northeastern,9,10,2,0.476
,Portland,9,10,2,0.476
,Providence,8,9,4,0.476
,Minnesota,9,10,2,0.476
169,Albany (NY),9,10,1,0.475
,Washington,7,8,5,0.475
,Oregon,8,9,3,0.475
,Western Caro.,9,10,1,0.475
173,UC Riverside,8,9,2,0.474
,Villanova,8,9,2,0.474
,Towson,9,10,0,0.474
176,Pacific,8,9,1,0.472
,Xavier,7,8,3,0.472
,Syracuse,7,8,3,0.472
179,UConn,7,8,2,0.471
,Kennesaw St.,7,8,2,0.471
181,Sam Houston St.,9,11,2,0.455
182,High Point,8,10,3,0.452
,UNLV,8,10,3,0.452
,UNI,8,10,3,0.452
,Troy,9,11,1,0.452
186,Butler,8,10,2,0.450
187,Ole Miss,8,10,1,0.447
,Northwestern St.,8,10,1,0.447
