Rank,Name,Won,Lost,Tied,Pct.
1,Virginia,24,1,1,0.942
2,UCLA,22,1,3,0.904
3,Denver,18,2,1,0.881
4,Florida St.,23,2,3,0.875
5,Monmouth,17,2,2,0.857
6,Texas Tech,18,2,3,0.848
7,Portland,17,3,1,0.833
8,Penn,12,1,4,0.824
9,Marquette,18,4,0,0.818
,Seattle,17,3,2,0.818
11,Nebraska,19,4,1,0.813
12,Georgetown,16,3,2,0.810
13,Michigan,18,4,1,0.804
14,North Carolina,20,5,0,0.800
,Radford,15,3,2,0.800
16,Stephen F. Austin,16,3,3,0.795
17,UCF,16,3,4,0.783
,South Carolina,17,4,2,0.783
,Furman,17,4,2,0.783
20,Oral Roberts,15,4,1,0.775
21,Santa Clara,16,4,2,0.773
22,Florida,18,5,1,0.771
23,Navy,16,5,0,0.762
,Washington St.,14,3,4,0.762
25,West Virginia,16,4,3,0.761
26,Texas A&M,18,5,2,0.760
27,Virginia Tech,19,5,3,0.759
28,FGCU,13,3,4,0.750
,Colorado Col.,15,4,3,0.750
30,Boston U.,15,4,4,0.739
31,James Madison,15,5,1,0.738
,BYU,15,5,1,0.738
33,Elon,13,3,6,0.727
34,Harvard,12,4,2,0.722
35,La Salle,15,5,3,0.717
,Liberty,16,6,1,0.717
,Southeastern La.,14,4,5,0.717
38,Dayton,14,5,2,0.714
39,Portland St.,12,4,3,0.711
40,Ole Miss,16,6,2,0.708
41,Stanford,15,6,1,0.705
,Rutgers,13,4,5,0.705
43,SIU Edwardsville,13,5,3,0.690
44,Louisville,12,5,2,0.684
45,William & Mary,8,2,7,0.676
46,Iowa,15,7,1,0.674
,South Ala.,14,6,3,0.674
,Indiana,15,7,1,0.674
,Penn St.,15,7,1,0.674
50,Alabama St.,14,7,0,0.667
,DePaul,13,6,2,0.667
,Wagner,11,5,2,0.667
,Samford,13,6,2,0.667
,South Dakota St.,11,5,2,0.667
,UMBC,13,6,2,0.667
56,North Texas,14,7,1,0.659
,Kentucky,14,7,1,0.659
,Illinois St.,14,7,1,0.659
59,Winthrop,11,5,3,0.658
,Northern Ariz.,11,5,3,0.658
61,Colorado,14,7,2,0.652
62,Nicholls St.,12,6,2,0.650
,Texas,12,6,2,0.650
,South Fla.,10,4,6,0.650
65,Arkansas,15,8,1,0.646
66,UTEP,12,6,3,0.643
,St. John's (NY),12,6,3,0.643
,California,11,5,5,0.643
,Memphis,13,7,1,0.643
70,San Diego St.,13,7,2,0.636
71,Stony Brook,11,6,2,0.632
,Austin Peay,11,6,2,0.632
73,Boise St.,13,7,3,0.630
,Western Mich.,12,6,5,0.630
75,Baylor,11,6,3,0.625
,Georgia,12,7,1,0.625
,Weber St.,10,5,5,0.625
,Kent St.,12,7,1,0.625
,Hartford,11,6,3,0.625
80,Miami (OH),11,6,4,0.619
,Utah,10,5,6,0.619
,Tulsa,11,6,4,0.619
,Wake Forest,12,7,2,0.619
,Eastern Mich.,12,7,2,0.619
,Fairfield,12,7,2,0.619
86,Brown,10,6,1,0.618
87,Notre Dame,13,8,1,0.614
,Saint Francis (PA),13,8,1,0.614
89,UC Irvine,11,7,0,0.611
90,Hofstra,10,6,3,0.605
,Maine,9,5,5,0.605
,Colgate,10,6,3,0.605
,Cal Poly,11,7,1,0.605
94,UNC Greensboro,10,6,4,0.600
,Charlotte,11,7,2,0.600
,San Diego,12,8,0,0.600
,Butler,11,7,2,0.600
,UAB,11,7,2,0.600
99,Jacksonville,12,8,1,0.595
,Western Ky.,10,6,5,0.595
101,Ball St.,11,7,4,0.591
102,Wright St.,8,5,5,0.583
103,Wofford,8,5,6,0.579
,Pepperdine,10,7,2,0.579
,Wisconsin,10,7,2,0.579
,Evansville,9,6,4,0.579
107,Ohio St.,10,7,3,0.575
,Marshall,10,7,3,0.575
,Northern Colo.,9,6,5,0.575
,Detroit,11,8,1,0.575
,Arkansas St.,10,7,3,0.575
112,Minnesota,11,8,2,0.571
113,Utah St.,10,7,5,0.568
,UMKC,12,9,1,0.568
115,Boston College,13,10,1,0.563
